"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"1400000US36085003900","Census Tract 39, Richmond County, New York","2197","2105","1303","477","10","156","2","157","92","87","36","2","15","0","16","4","6","1","7","0","0","0","0","0","0","5","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085004000","Census Tract 40, Richmond County, New York","12998","12505","2668","6399","68","1925","5","1440","493","459","103","17","9","4","97","35","38","1","103","14","0","7","3","15","13","30","16","1","0","6","0","0","0","0","0","1","1","1","0","2","1","1","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"1400000US36085004700","Census Tract 47, Richmond County, New York","3863","3776","3009","299","14","256","4","194","87","74","15","5","21","0","19","0","2","0","5","0","0","4","1","2","0","13","3","3","0","4","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085005000","Census Tract 50, Richmond County, New York","3847","3763","2901","132","6","552","0","172","84","76","16","3","14","1","13","6","1","0","4","3","0","10","0","4","1","3","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085005900","Census Tract 59, Richmond County, New York","2635","2585","2239","118","0","133","2","93","50","45","20","6","11","0","5","1","1","0","0","0","0","1","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085006400","Census Tract 64, Richmond County, New York","3550","3430","2457","405","18","314","2","234","120","111","51","5","16","0","14","15","2","0","7","0","0","1","0","0","0","6","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"1400000US36085006700","Census Tract 67, Richmond County, New York","2758","2699","2269","229","11","136","3","51","59","58","22","1","20","0","6","2","3","0","0","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085007000","Census Tract 70, Richmond County, New York","8525","8348","6998","260","21","617","4","448","177","168","23","10","48","1","57","0","4","0","6","3","0","0","6","10","0","8","0","0","0","0","0","0","0","1","0","0","3","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085007400","Census Tract 74, Richmond County, New York","4693","4550","3481","187","9","496","5","372","143","128","15","0","45","0","44","5","2","0","8","1","0","1","2","3","2","15","1","0","0","0","9","0","0","1","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085007500","Census Tract 75, Richmond County, New York","3914","3736","1994","734","33","261","3","711","178","172","46","10","13","2","49","12","5","4","16","3","0","5","0","7","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085007700","Census Tract 77, Richmond County, New York","1535","1451","322","780","15","36","3","295","84","79","18","4","10","1","13","4","1","0","25","0","1","0","0","2","0","4","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1400000US36085008100","Census Tract 81, Richmond County, New York","4301","4070","1908","1420","20","228","1","493","231","195","49","4","17","3","40","31","18","1","23","1","0","1","0","5","2","31","21","2","0","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
