"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier"
"1400000US36103169800","Census Tract 1698, Suffolk County, New York","2203","134","28","31","28","33","161","86","116","96","83","61","223","115","330","105","678","146","123","60","433","119"
"1400000US36103169901","Census Tract 1699.01, Suffolk County, New York","2854","154","68","74","14","23","1057","192","645","220","185","116","374","160","165","83","176","92","47","43","123","88"
"1400000US36103169902","Census Tract 1699.02, Suffolk County, New York","3258","157","20","33","86","83","891","269","423","144","438","171","156","104","365","162","400","172","156","122","323","187"
"1400000US36103170001","Census Tract 1700.01, Suffolk County, New York","3619","152","0","17","27","42","272","167","680","247","496","204","453","213","327","139","451","197","101","72","812","286"
"1400000US36103170002","Census Tract 1700.02, Suffolk County, New York","3068","125","0","12","26","34","408","138","279","120","474","143","498","144","288","107","414","124","55","64","626","152"
"1400000US36103170101","Census Tract 1701.01, Suffolk County, New York","1287","69","0","12","0","12","70","40","53","41","88","55","59","35","21","18","50","36","30","21","916","86"
"1400000US36103170201","Census Tract 1702.01, Suffolk County, New York","4264","168","0","17","63","76","457","160","332","179","795","232","1049","256","368","168","297","136","267","152","636","240"
"1400000US36103170202","Census Tract 1702.02, Suffolk County, New York","4440","147","27","33","33","30","878","115","630","129","432","112","322","91","290","87","481","115","304","83","1043","148"
"1400000US36103180300","Census Tract 1803, Suffolk County, New York","3401","139","29","49","54","59","571","201","416","157","379","183","394","175","377","153","514","154","120","102","547","193"
"1400000US36103190401","Census Tract 1904.01, Suffolk County, New York","2947","111","0","17","56","65","523","245","46","71","342","152","213","123","540","238","551","211","395","189","281","155"
"1400000US36103190402","Census Tract 1904.02, Suffolk County, New York","1558","60","23","28","20","16","463","99","258","68","145","53","114","59","155","72","198","73","78","46","104","64"
"1400000US36103190403","Census Tract 1904.03, Suffolk County, New York","2155","91","10","16","0","12","396","131","409","118","359","131","290","88","325","120","272","110","22","18","72","48"
"1400000US36103190502","Census Tract 1905.02, Suffolk County, New York","3090","79","182","74","68","34","159","55","265","65","325","91","622","104","432","93","297","73","199","81","541","99"
"1400000US36103190503","Census Tract 1905.03, Suffolk County, New York","2105","57","0","12","16","19","217","75","359","104","286","101","403","124","188","73","154","80","126","78","356","121"
